Date,Campaign,Strategy,Placement,Creative,Region,Source,Impressions,Clicks,Conversions,Revenue,CTR (%),Spend,CPC,CPA,ROAS
2025-11-04,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 2,surfside,4458,8,0,0.00,0.00,75.79,9.47,,
2025-11-04,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 3,surfside,3,0,0,0.00,0.00,0.05,,,
2025-11-04,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 4,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-04,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 5,surfside,13319,23,1,85.00,0.00,226.42,9.84,226.42,0.38
2025-11-04,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 6,surfside,13981,11,0,0.00,0.00,237.68,21.61,,
2025-11-04,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 7,surfside,13315,17,3,585.00,0.00,226.36,13.32,75.45,2.58
2025-11-04,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 8,surfside,13987,24,2,190.00,0.00,237.78,9.91,118.89,0.80
2025-11-04,,Retention,Audience | Lapsed Purchasers (Last Purchased between 45 days and 12 months),Creative 2,surfside,1747,1,0,0.00,0.00,29.70,29.70,,
2025-11-04,,Retention,Audience | Lapsed Purchasers (Last Purchased between 45 days and 12 months),Creative 6,surfside,5130,2,1,80.00,0.00,87.21,43.60,87.21,0.92
2025-11-04,,Retention,Audience | Lapsed Purchasers (Last Purchased between 45 days and 12 months),Creative 7,surfside,4700,7,0,0.00,0.00,79.90,11.41,,
2025-11-04,,Retention,Audience | Lapsed Purchasers (Last Purchased between 45 days and 12 months),Creative 8,surfside,4930,4,0,42.50,0.00,83.81,20.95,,0.51
2025-11-04,,Retention,Audience | Recent Purchasers (Last Purchased within the last 45 days),Creative 2,surfside,2035,0,3,372.50,0.00,34.60,,11.53,10.77
2025-11-04,,Retention,Audience | Recent Purchasers (Last Purchased within the last 45 days),Creative 6,surfside,5024,15,6,1049.50,0.00,85.41,5.69,14.24,12.29
2025-11-04,,Retention,Audience | Recent Purchasers (Last Purchased within the last 45 days),Creative 7,surfside,4473,12,6,653.50,0.00,76.04,6.34,12.67,8.59
2025-11-04,,Retention,Audience | Recent Purchasers (Last Purchased within the last 45 days),Creative 8,surfside,4799,7,5,839.00,0.00,81.58,11.65,16.32,10.28
2025-11-04,,Prospecting,Audience | Cannabis Consumers,Creative 2,surfside,4645,3,0,0.00,0.00,78.96,26.32,,
2025-11-04,,Retention,Retargeting | Cart Abandoners,Creative 3,surfside,0,0,0,0.00,0.00,0.00,,,
2025-11-04,,Retention,Retargeting | Cart Abandoners,Creative 4,surfside,3,0,0,0.00,0.00,0.05,,,
2025-11-04,,Retention,Retargeting | Cart Abandoners,Creative 6,surfside,7899,7,2,341.00,0.00,134.28,19.18,67.14,2.54
2025-11-04,,Retention,Retargeting | Cart Abandoners,Creative 7,surfside,7176,8,3,449.00,0.00,121.99,15.25,40.66,3.68
2025-11-04,,Retention,Retargeting | Cart Abandoners,Creative 8,surfside,7798,7,1,35.00,0.00,132.57,18.94,132.57,0.26
2025-11-04,,Retention,Retargeting | Website Visitors,Creative 1,surfside,5,0,0,0.00,0.00,0.08,,,
2025-11-04,,Retention,Retargeting | Website Visitors,Creative 2,surfside,2836,0,1,100.00,0.00,48.21,,48.21,2.07
2025-11-04,,Retention,Retargeting | Website Visitors,Creative 6,surfside,7963,5,2,270.50,0.00,135.37,27.07,67.68,2.00
2025-11-04,,Retention,Retargeting | Website Visitors,Creative 7,surfside,7368,5,1,85.00,0.00,125.26,25.05,125.26,0.68
2025-11-04,,Retention,Retargeting | Website Visitors,Creative 8,surfside,7809,6,2,102.00,0.00,132.75,22.12,66.38,0.77
2025-11-03,,Retention,Audience | Lapsed Purchasers (Last Purchased between 45 days and 12 months),Creative 2,surfside,1890,3,0,0.00,0.00,32.13,10.71,,
2025-11-03,,Prospecting,Audience | Cannabis Consumers,Creative 8,surfside,12133,13,3,360.00,0.00,206.26,15.87,68.75,1.75
2025-11-03,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 8,surfside,12387,8,2,315.00,0.00,210.58,26.32,105.29,1.50
2025-11-03,,Prospecting,Audience | Cannabis Consumers,Creative 7,surfside,10727,5,0,250.00,0.00,182.36,36.47,,1.37
2025-11-03,,Retention,Retargeting | Cart Abandoners,Creative 4,surfside,2,0,1,93.00,0.00,0.03,,0.03,3100.00
2025-11-03,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 7,surfside,11227,14,1,160.00,0.00,190.86,13.63,190.86,0.84
2025-11-03,,Retention,Retargeting | Website Visitors,Creative 8,surfside,10011,13,5,419.67,0.00,170.19,13.09,34.04,2.47
2025-11-03,,Retention,Retargeting | Cart Abandoners,Creative 6,surfside,11494,11,3,410.00,0.00,195.40,17.76,65.13,2.10
2025-11-03,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 6,surfside,12449,5,0,0.00,0.00,211.63,42.33,,
2025-11-03,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 5,surfside,11276,10,2,262.50,0.00,191.69,19.17,95.84,1.37
2025-11-03,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 2,surfside,4183,8,0,10.00,0.00,71.11,8.89,,0.14
2025-11-03,,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 8,surfside,8539,8,0,10.00,0.00,145.16,18.14,,0.07
2025-11-03,,Retention,Retargeting | Website Visitors,Creative 7,surfside,9351,9,6,887.00,0.00,158.97,17.66,26.50,5.58
2025-11-03,,Retention,Retargeting | Cart Abandoners,Creative 7,surfside,10447,1,3,558.00,0.00,177.60,177.60,59.20,3.14
2025-11-03,,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 7,surfside,7763,5,1,120.00,0.00,131.97,26.39,131.97,0.91
2025-11-03,,Prospecting,Audience | Cannabis Consumers,Creative 6,surfside,12315,13,1,95.00,0.00,209.36,16.10,209.36,0.45
2025-11-03,,Retention,Retargeting | Cart Abandoners,Creative 8,surfside,11437,11,3,286.00,0.00,194.43,17.68,64.81,1.47
2025-11-03,,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 6,surfside,8769,9,1,28.00,0.00,149.07,16.56,149.07,0.19
2025-11-03,,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,surfside,7701,4,2,102.00,0.00,130.92,32.73,65.46,0.78
2025-11-03,,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 4,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-03,,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 3,surfside,2,1,0,0.00,0.50,0.03,0.03,,
2025-11-03,,Prospecting,Audience | Cannabis Consumers,Creative 5,surfside,10569,7,0,0.00,0.00,179.67,25.67,,
2025-11-03,,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 2,surfside,2846,4,2,444.00,0.00,48.38,12.10,24.19,9.18
2025-11-03,,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 1,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-03,,Prospecting,Audience | Cannabis Consumers,Creative 4,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-03,,Retention,Retargeting | Website Visitors,Creative 2,surfside,3139,1,2,562.50,0.00,53.36,53.36,26.68,10.54
2025-11-03,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,surfside,8854,9,5,669.50,0.00,150.52,16.72,30.10,4.45
2025-11-03,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,surfside,7873,5,0,0.00,0.00,133.84,26.77,,
2025-11-03,,Retention,Retargeting | Website Visitors,Creative 4,surfside,2,1,1,60.00,0.50,0.03,0.03,0.03,2000.00
2025-11-03,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,surfside,8572,4,4,500.00,0.00,145.72,36.43,36.43,3.43
2025-11-03,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,7748,4,3,237.67,0.00,131.72,32.93,43.91,1.80
2025-11-03,,Retention,Audience | Recent Purchasers (Last Purchased within the last 45 days),Creative 3,surfside,2,0,3,213.50,0.00,0.03,,0.01,7116.67
2025-11-03,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 3,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-03,,Retention,Audience | Recent Purchasers (Last Purchased within the last 45 days),Creative 6,surfside,5886,3,7,1055.83,0.00,100.06,33.35,14.29,10.55
2025-11-03,,Prospecting,Audience | Cannabis Consumers,Creative 2,surfside,4189,5,0,0.00,0.00,71.21,14.24,,
2025-11-03,,Retention,Audience | Recent Purchasers (Last Purchased within the last 45 days),Creative 7,surfside,5352,6,9,1137.00,0.00,90.98,15.16,10.11,12.50
2025-11-03,,Retention,Audience | Recent Purchasers (Last Purchased within the last 45 days),Creative 2,surfside,2456,2,4,910.00,0.00,41.75,20.88,10.44,21.80
2025-11-03,,Retention,Audience | Lapsed Purchasers (Last Purchased between 45 days and 12 months),Creative 8,surfside,6093,4,1,100.00,0.00,103.58,25.90,103.58,0.97
2025-11-03,,Retention,Retargeting | Website Visitors,Creative 6,surfside,10240,8,0,69.50,0.00,174.08,21.76,,0.40
2025-11-03,,Retention,Audience | Recent Purchasers (Last Purchased within the last 45 days),Creative 8,surfside,5933,8,7,1070.50,0.00,100.86,12.61,14.41,10.61
2025-11-03,,Retention,Audience | Lapsed Purchasers (Last Purchased between 45 days and 12 months),Creative 7,surfside,5337,2,2,132.50,0.00,90.73,45.36,45.36,1.46
2025-11-03,,Retention,Audience | Lapsed Purchasers (Last Purchased between 45 days and 12 months),Creative 6,surfside,6091,4,0,0.00,0.00,103.55,25.89,,
2025-11-03,,Retention,Retargeting | Cart Abandoners,Creative 1,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-03,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,surfside,2950,3,0,0.00,0.00,50.15,16.72,,
2025-11-03,,Retention,Retargeting | Cart Abandoners,Creative 2,surfside,3535,9,0,25.00,0.00,60.10,6.68,,0.42
