Strategy Name,Placement Name,Creative Name,Creative Size,Event Date,Impressions,Clicks, Media Spend ,Conversions,Conversion Value, ROAS 
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,320x100,11/4/2025,150,0, $ 0.83 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,728x90,11/4/2025,339,0, $ 1.86 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,320x50,11/4/2025,1868,3, $ 10.27 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,300x250,11/4/2025,3894,4, $ 21.42 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,160x600,11/3/2025,75,0, $ 0.41 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,320x100,11/3/2025,126,0, $ 0.69 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,728x90,11/3/2025,343,1, $ 1.89 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,320x50,11/3/2025,2339,1, $ 12.86 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,300x250,11/3/2025,4990,3, $ 27.44 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,160x600,11/9/2025,1,0, $ 0.01 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,320x50,11/7/2025,1,0, $ 0.01 ,2,156," $ 28,363.64 "
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,728x90,11/5/2025,0,0,,0,0,#DIV/0!
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,320x50,11/5/2025,1,0, $ 0.01 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,300x250,11/4/2025,4115,1, $ 22.63 ,1,161, $ 7.11 
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,728x90,11/4/2025,329,1, $ 1.81 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,320x50,11/4/2025,2147,3, $ 11.81 ,1,180, $ 15.24 
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,160x600,11/4/2025,44,0, $ 0.24 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,nullxnull,11/4/2025,2,1, $ 0.01 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,320x100,11/4/2025,94,0, $ 0.52 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,728x90,11/3/2025,416,1, $ 2.29 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,320x100,11/3/2025,154,0, $ 0.85 ,1,80, $ 94.45 
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,320x50,11/3/2025,2909,3, $ 16.00 ,1,132.5, $ 8.28 
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,160x600,11/3/2025,82,0, $ 0.45 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,300x250,11/3/2025,5293,5, $ 29.11 ,3,457, $ 15.70 
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 1,300x250,11/3/2025,1,0, $ 0.01 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 2,320x50,11/4/2025,1645,0, $ 9.05 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 2,320x100,11/4/2025,121,0, $ 0.67 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 2,160x600,11/4/2025,57,0, $ 0.31 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 2,728x90,11/4/2025,435,0, $ 2.39 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 2,320x50,11/3/2025,2149,3, $ 11.82 ,1,100, $ 8.46 
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 2,320x100,11/3/2025,130,0, $ 0.72 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 2,160x600,11/3/2025,99,0, $ 0.54 ,1,344, $ 631.77 
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 2,728x90,11/3/2025,468,1, $ 2.57 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 3,nullxnull,11/3/2025,2,1, $ 0.01 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 4,320x50,11/6/2025,1,0, $ 0.01 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 4,320x50,11/4/2025,1,0, $ 0.01 ,3,1280," $ 232,727.27 "
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 4,320x50,11/3/2025,1,0, $ 0.01 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,300x250,11/8/2025,1,0, $ 0.01 ,1,30.25," $ 5,500.00 "
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,300x250,11/7/2025,1,0, $ 0.01 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,320x50,11/6/2025,2,0, $ 0.01 ,2,153," $ 13,909.09 "
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,300x250,11/5/2025,2,0, $ 0.01 ,1,24.75," $ 2,250.00 "
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,320x50,11/4/2025,1625,2, $ 8.94 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,320x100,11/4/2025,112,0, $ 0.62 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,300x250,11/4/2025,3861,4, $ 21.24 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,728x90,11/4/2025,425,0, $ 2.34 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,160x600,11/4/2025,53,0, $ 0.29 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,160x600,11/3/2025,96,0, $ 0.53 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,320x100,11/3/2025,135,1, $ 0.74 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,300x250,11/3/2025,4832,2, $ 26.58 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,728x90,11/3/2025,453,1, $ 2.49 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,320x50,11/3/2025,2185,0, $ 12.02 ,2,102, $ 8.49 
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 6,300x250,11/6/2025,2,1, $ 0.01 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 6,320x50,11/6/2025,2,0, $ 0.01 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 6,320x50,11/4/2025,1820,0, $ 10.01 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 6,160x600,11/4/2025,56,0, $ 0.31 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 6,320x100,11/4/2025,96,0, $ 0.53 ,0,0, $ -   
